LOV_RiverBasinDistrictID,Code,Name,StartYear,EndYear,LOV_CountryID
137,ITG,Sardinia,2007,NULL,109
138,BE_Escaut_BR,Scheldt (Brussels Area),2007,NULL,22
139,BESchelde_VL,Scheldt in Flanders,2007,NULL,22
140,BE_Escaut_RW,Scheldt in Wallonia,2007,NULL,22
141,NLSC,Scheldt,2007,NULL,156
142,FRA,"Scheldt, Somme and coastal waters of the Channel and the North Sea",2007,NULL,74
143,DE9610,Schlei/Trave,2007,NULL,81
144,UK01,Scotland,2007,NULL,234
145,ES070,Segura,2007,NULL,207
146,FRH,Seine and Normandy coastal waters,2007,NULL,74
147,BE_Seine_RW,Seine,2007,NULL,22
148,ITD,Serchio,2007,NULL,109
149,UK09,Severn,2007,NULL,234
150,IEGBNISH,Shannon,2007,NULL,106
151,UKIEGBNISH,Shannon,2007,NULL,234
152,ITH,Sicily,2007,NULL,109
153,NOSE5,Skagerrak and Kattegat,2007,NULL,166
154,SE5,Skagerrak and Kattegat,2007,NULL,213
155,UK02,Solway Tweed,2007,NULL,234
156,SE4,South Baltic,2007,NULL,213
157,UK07,South East,2007,NULL,234
158,IESE,South Eastern,2007,NULL,106
159,NO5103,South West,2007,NULL,166
160,UK08,South West,2007,NULL,234
161,IESW,South Western,2007,NULL,106
162,ITF,Southern Appenines,2007,NULL,109
163,PL3000,Swieza,2007,NULL,177
164,PTRH5,Tagus and Western Basins,2007,NULL,178
165,ES030,Tagus,2007,NULL,207
166,ES124,Tenerife,2007,NULL,207
167,FIVHA7,"Teno-, Näätämö- and Paatsjoki (Finnish part)",2007,NULL,73
168,UK06,Thames,2007,NULL,234
169,GR08,Thessalia,2007,NULL,84
170,GR12,Thrace,2007,NULL,84
171,NOFIVHA6,Tornionjoen (Finnish part),2007,NULL,166
172,FIVHA6,Tornionjoki (Finnish part),2007,NULL,73
173,NO1102,Troendelag,2007,NULL,166
174,SENO1102,Troendelag,2007,NULL,213
175,NO1104,Troms,2007,NULL,166
176,SENO1104,Troms,2007,NULL,213
177,PL6700,Ucker,2007,NULL,177
178,LT2300,Venta,2007,NULL,128
179,LVVUBA,Venta,2007,NULL,122
180,DK4,Vidaa-Krusaa,2007,NULL,59
181,PL2000,Vistula,2007,NULL,177
182,SK30000,Vistula,2007,NULL,201
183,PTRH4,"Vouga, Mondego and Lis",2007,NULL,178
184,FIVHA1,Vuoksi,2007,NULL,73
185,DE9650,Warnow/Peene,2007,NULL,81
186,DE4000,Weser,2007,NULL,81
187,BG4000,West Aegean Region Basin District,2007,NULL,34
188,NO5102,West Bay,2007,NULL,166
189,EE1,West Estonia,2007,NULL,68
190,NO5104,West,2007,NULL,166
191,GR09,Western Macedonia,2007,NULL,84
192,GR01,Western Peloponnese,2007,NULL,84
193,GR04,Western Sterea Ellada,2007,NULL,84
194,UK10,Western Wales,2007,NULL,234
195,IEWE,Western,2007,NULL,106
196,DK2,Zealand,2007,NULL,59
197,GNSEA,North Sea,2007,NULL,NULL
198,UNKNOWN,N/A,2001,2004,NULL
199,LI1,Rhine,2007,NULL,127
200,RS-1,Serbia,2011,NULL,197
201,NOBAR,Barents Sea,2007,NULL,NULL
202,NONOS,Norwegian Sea,2007,NULL,NULL
203,NONS,North Sea,2007,NULL,NULL
204,GR15,North Aegean Sea,2007,NULL,NULL
