FacilityReportID,MainActivityIndicator,RankingNumeric,IAReportedActivityCode,IPPCReportedActivityCode,SectorCode,ActivityCode,SubActivityCode,ActivityIPPCCode,SubActivityIPPCCode
971094,0,11,5.(c),5.3,5,5.(c),NULL,5.3,NULL
971094,1,1,2.(b),2.2,2,2.(b),NULL,2.2,NULL
971094,0,2,1.(d),1.3,1,1.(d),NULL,1.3,NULL
971094,0,3,1.(e),NULL,1,1.(e),NULL,NULL,NULL
971094,0,4,2.(a),2.1,2,2.(a),NULL,2.1,NULL
971094,0,5,2.(c).(i),2.3.(a),2,2.(c),2.(c).(i),2.3,2.3.(a)
974127,0,13,1.(c),1.1,1,1.(c),NULL,1.1,NULL
974127,0,7,2.(f),2.6,2,2.(f),NULL,2.6,NULL
974127,0,8,3.(c).(iii),3.1,3,3.(c),3.(c).(iii),3.1,3.1
974127,0,9,9.(c),6.7,9,9.(c),NULL,6.7,NULL
974127,0,10,5.(a),5.1,5,5.(a),NULL,5.1,NULL
974127,0,11,5.(c),5.3,5,5.(c),NULL,5.3,NULL
974127,0,12,3.(b),NULL,3,3.(b),NULL,NULL,NULL
974127,1,1,2.(b),2.2,2,2.(b),NULL,2.2,NULL
974127,0,2,1.(d),1.3,1,1.(d),NULL,1.3,NULL
974127,0,3,1.(e),NULL,1,1.(e),NULL,NULL,NULL
974127,0,4,2.(a),2.1,2,2.(a),NULL,2.1,NULL
974127,0,5,2.(c).(i),2.3.(a),2,2.(c),2.(c).(i),2.3,2.3.(a)
974127,0,6,2.(c).(iii),2.3.(c),2,2.(c),2.(c).(iii),2.3,2.3.(c)
977567,1,1,2.(b),2.2,2,2.(b),NULL,2.2,NULL
977567,0,2,1.(d),1.3,1,1.(d),NULL,1.3,NULL
977567,0,9,9.(c),6.7,9,9.(c),NULL,6.7,NULL
977567,0,10,5.(a),5.1,5,5.(a),NULL,5.1,NULL
977567,0,11,5.(c),5.3,5,5.(c),NULL,5.3,NULL
977567,0,12,3.(b),NULL,3,3.(b),NULL,NULL,NULL
977567,0,13,1.(c),1.1,1,1.(c),NULL,1.1,NULL
977567,0,3,1.(e),NULL,1,1.(e),NULL,NULL,NULL
977567,0,4,2.(a),2.1,2,2.(a),NULL,2.1,NULL
977567,0,5,2.(c).(i),2.3.(a),2,2.(c),2.(c).(i),2.3,2.3.(a)
977567,0,6,2.(c).(iii),2.3.(c),2,2.(c),2.(c).(iii),2.3,2.3.(c)
977567,0,7,2.(f),2.6,2,2.(f),NULL,2.6,NULL
977567,0,8,3.(c).(iii),3.1,3,3.(c),3.(c).(iii),3.1,3.1
