ResourceValueID,ResourceKeyID,CultureCode,ResourceValue,ChangedDate
5228,5228,en-GB,Releases of,2018-03-21 14:36:04.667
5229,5229,en-GB,Transfers of,2018-03-21 14:36:04.667
